Year,USD,Dollars,Certainty
2013,28500.0,Nominal,record
2013,32813.38263404839,2019,record
2014,28500.0,Nominal,record
2014,32034.523903774167,2019,record
2015,30000.0,Nominal,record
2015,33456.307556499814,2019,record
2016,32000.0,Nominal,record
2016,34995.31962967854,2019,record
2017,32000.0,Nominal,
2017,33885.03379374275,2019,record
2018,32000.0,Nominal,record
2018,32890.35976778499,2019,record
2019,33000.0,Nominal,record
2019,33000.0,2019,record
2019,33000.0,Nominal,estimate
2019,33000.0,2019,estimate
2020,33000.0,Nominal,estimate
2020,32106.67221202964,2019,estimate
